Length Units,meter,,,,,,,
length Units,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1 ,-214 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
2 ,-194 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
3 ,-173 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
4 ,-153 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
5 ,-133 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
6 ,-113 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
7 ,-92 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
8 ,-72 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
9 ,-52 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
10 ,-32 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
11 ,-11 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
12 ,9 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
13 ,29 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
14 ,49 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
15 ,70 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
16 ,90 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
17 ,110 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
18 ,130 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
19 ,150 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
20 ,171 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
21 ,191 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
22 ,211 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
23 ,231 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
24 ,252 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
25 ,272 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
26 ,292 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
27 ,312 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
28 ,333 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
29 ,353 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
30 ,373 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
31 ,393 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
32 ,414 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
33 ,434 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
34 ,454 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
35 ,474 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
36 ,495 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
37 ,515 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
38 ,535 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
39 ,555 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
40 ,575 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
41 ,596 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
42 ,616 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
43 ,636 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
44 ,656 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
45 ,677 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
46 ,697 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
47 ,717 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
48 ,737 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
49 ,758 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
50 ,778 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
51 ,798 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
52 ,818 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
53 ,839 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
54 ,859 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
55 ,879 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
56 ,899 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
57 ,920 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
58 ,940 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
59 ,960 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
60 ,980 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
61 ,1001 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
62 ,1021 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
63 ,1041 ,-1402 ,0 ,0 ,10 ,-1 ,10 ,
64 ,1061 ,-1402 ,0 ,0 ,10 ,-1 ,10 ,
65 ,1081 ,-1402 ,0 ,0 ,10 ,-1 ,10 ,
66 ,1102 ,-1402 ,0 ,0 ,10 ,-1 ,10 ,
67 ,1122 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
68 ,1142 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
69 ,1162 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
70 ,1183 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
71 ,1203 ,-1402 ,0 ,0 ,10 ,-1 ,10 ,
72 ,1223 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
73 ,1243 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
74 ,1264 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
75 ,1284 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
76 ,1304 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
77 ,1324 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
78 ,1345 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
79 ,1365 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
80 ,1385 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
81 ,1405 ,-1402 ,0 ,0 ,10 ,0 ,10 ,
82 ,-214 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
83 ,-194 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
84 ,-173 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
85 ,-153 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
86 ,-133 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
87 ,-113 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
88 ,-92 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
89 ,-72 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
90 ,-52 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
91 ,-32 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
92 ,-11 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
93 ,9 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
94 ,29 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
95 ,49 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
96 ,70 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
97 ,90 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
98 ,110 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
99 ,130 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
100 ,150 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
101 ,171 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
102 ,191 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
103 ,211 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
104 ,231 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
105 ,252 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
106 ,272 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
107 ,292 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
108 ,312 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
109 ,333 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
110 ,353 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
111 ,373 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
112 ,393 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
113 ,414 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
114 ,434 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
115 ,454 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
116 ,474 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
117 ,495 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
118 ,515 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
119 ,535 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
120 ,555 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
121 ,575 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
122 ,596 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
123 ,616 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
124 ,636 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
125 ,656 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
126 ,677 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
127 ,697 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
128 ,717 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
129 ,737 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
130 ,758 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
131 ,778 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
132 ,798 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
133 ,818 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
134 ,839 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
135 ,859 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
136 ,879 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
137 ,899 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
138 ,920 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
139 ,940 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
140 ,960 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
141 ,980 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
142 ,1001 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
143 ,1021 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
144 ,1041 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
145 ,1061 ,-1382 ,0 ,0 ,10 ,-2 ,10 ,
146 ,1081 ,-1382 ,0 ,0 ,10 ,-2 ,10 ,
147 ,1102 ,-1382 ,0 ,1 ,10 ,-2 ,10 ,
148 ,1122 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
149 ,1142 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
150 ,1162 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
151 ,1183 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
152 ,1203 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
153 ,1223 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
154 ,1243 ,-1382 ,0 ,0 ,10 ,-1 ,10 ,
155 ,1264 ,-1382 ,0 ,1 ,10 ,-1 ,10 ,
156 ,1284 ,-1382 ,0 ,1 ,10 ,-1 ,10 ,
157 ,1304 ,-1382 ,0 ,1 ,10 ,-1 ,10 ,
158 ,1324 ,-1382 ,0 ,1 ,10 ,0 ,10 ,
159 ,1345 ,-1382 ,0 ,1 ,10 ,0 ,10 ,
160 ,1365 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
161 ,1385 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
162 ,1405 ,-1382 ,0 ,0 ,10 ,0 ,10 ,
163 ,-214 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
164 ,-194 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
165 ,-173 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
166 ,-153 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
167 ,-133 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
168 ,-113 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
169 ,-92 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
170 ,-72 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
171 ,-52 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
172 ,-32 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
173 ,-11 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
174 ,9 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
175 ,29 ,-1362 ,0 ,-1 ,10 ,0 ,10 ,
176 ,49 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
177 ,70 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
178 ,90 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
179 ,110 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
180 ,130 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
181 ,150 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
182 ,171 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
183 ,191 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
184 ,211 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
185 ,231 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
186 ,252 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
187 ,272 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
188 ,292 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
189 ,312 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
190 ,333 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
191 ,353 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
192 ,373 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
193 ,393 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
194 ,414 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
195 ,434 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
196 ,454 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
197 ,474 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
198 ,495 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
199 ,515 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
200 ,535 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
201 ,555 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
202 ,575 ,-1362 ,0 ,0 ,10 ,0 ,10 ,
203 ,596 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
204 ,616 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
205 ,636 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
206 ,656 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
207 ,677 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
208 ,697 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
209 ,717 ,-1362 ,0 ,0 ,10 ,-1 ,10 ,
210 ,737 ,-1362 ,0 ,-1 ,10 ,-2 ,10 ,
211 ,758 ,-1362 ,0 ,-1 ,10 ,-2 ,10 ,
212 ,778 ,-1362 ,0 ,0 ,10 ,-2 ,10 ,
213 ,798 ,-1362 ,0 ,0 ,10 ,-2 ,10 ,
