Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,380,-0.031080628,9.9313393,0.018432844,9.9314051,
2,-193.60878,-1401.7566,380,-0.01365371,9.9911442,0.014921747,9.9911642,
3,-173.36929,-1401.7566,380,-0.013665534,9.9911366,0.014934668,9.9911566,
4,-153.12982,-1401.7566,380,-0.019369857,9.9926186,0.01812217,9.9926538,
5,-132.89034,-1401.7566,380,-0.029090444,10.01354,0.026075451,10.013617,
6,-112.65086,-1401.7566,380,-0.034252122,10.016044,0.031046245,10.01615,
7,-92.411377,-1401.7566,380,-0.034281243,10.016058,0.031072641,10.016165,
8,-72.17189,-1401.7566,380,-0.034287214,10.01606,0.031078052,10.016167,
9,-51.932404,-1401.7566,380,-0.097777963,10.021087,0.083393432,10.021911,
10,-31.692932,-1401.7566,380,-0.13137276,10.023744,0.11107453,10.02522,
11,-11.453445,-1401.7566,380,-0.083369106,10.013956,0.077356726,10.014602,
12,8.7860413,-1401.7566,380,-0.03510274,10.00226,0.04244224,10.002412,
13,29.025513,-1401.7566,380,-0.037533458,10.004612,0.045161363,10.004785,
14,49.264999,-1401.7566,380,-0.027829168,10.001577,0.058587916,10.001788,
15,69.504471,-1401.7566,380,-0.011794578,9.9965582,0.080827609,9.996892,
16,89.743973,-1401.7566,380,-0.011795542,9.9965572,0.080834217,9.996891,
17,109.98344,-1401.7566,380,-0.01179462,9.9965591,0.080827899,9.9968929,
18,130.22292,-1401.7566,380,-0.011796407,9.9965572,0.080840148,9.996891,
19,150.46242,-1401.7566,380,-0.011795721,9.9965582,0.080835439,9.996892,
20,170.70189,-1401.7566,380,0.013105731,10.006604,0.089726582,10.007015,
21,190.94136,-1401.7566,380,0.013104776,10.006603,0.089720048,10.007014,
22,211.18086,-1401.7566,380,0.017249417,10.006426,0.099380039,10.006934,
23,231.42033,-1401.7566,380,0.025493558,10.012869,0.077626377,10.013203,
24,251.65981,-1401.7566,380,0.030908361,9.9986544,0.061133925,9.998889,
25,271.89929,-1401.7566,380,0.025585411,9.997961,0.047786821,9.9981079,
26,292.13879,-1401.7566,380,0.02622851,10.001051,0.050274041,10.001211,
27,312.37823,-1401.7566,380,0.031560622,10.026894,0.070985422,10.027195,
28,332.61774,-1401.7566,380,0.033891417,10.038191,0.080039166,10.038568,
29,352.85724,-1401.7566,380,0.033893559,10.038194,0.080044225,10.03857,
30,373.09668,-1401.7566,380,0.015916282,10.023657,0.042853072,10.023761,
31,393.33618,-1401.7566,380,0.021704262,10.047066,0.09823174,10.047569,
32,413.57568,-1401.7566,380,0.021702429,10.047062,0.09822344,10.047565,
33,433.81512,-1401.7566,380,0.021699905,10.047056,0.098212019,10.04756,
34,454.05463,-1401.7566,380,0.021701004,10.047058,0.098216988,10.047562,
35,474.29413,-1401.7566,380,0.026048306,10.010752,0.077657729,10.011086,
36,494.53357,-1401.7566,380,0.013789122,10.008829,0.061230693,10.009026,
37,514.77307,-1401.7566,380,0.003478171,10.047976,0.072682105,10.048239,
38,535.01257,-1401.7566,380,0.003476835,10.047956,0.072654195,10.04822,
39,555.25201,-1401.7566,380,-0.008323652,10.036615,0.11108017,10.037233,
40,575.49152,-1401.7566,380,-0.028605482,10.017141,0.17715639,10.018749,
41,595.73102,-1401.7566,380,-0.028607789,10.017142,0.17717068,10.018749,
42,615.97046,-1401.7566,380,-0.026776176,10.016192,0.16793305,10.017635,
43,636.20996,-1401.7566,380,-0.015693989,10.010442,0.11202686,10.011081,
44,656.44946,-1401.7566,380,-0.013943786,10.009534,0.10320576,10.010076,
45,676.6889,-1401.7566,380,-0.010318454,10.009811,0.11272649,10.010451,
46,696.92841,-1401.7566,380,-0.0063014,10.010122,0.12330842,10.010883,
47,717.16791,-1401.7566,380,-0.000530465,10.011531,0.13675258,10.012465,
48,737.40735,-1401.7566,380,0.028215045,10.018543,0.20360485,10.020652,
49,757.64685,-1401.7566,380,0.028204931,10.018537,0.20353188,10.020643,
50,777.88635,-1401.7566,380,0.030692944,10.023798,0.22808665,10.02644,
51,798.12579,-1401.7566,380,0.036455039,10.035999,0.28498885,10.040111,
52,818.36523,-1401.7566,380,0.036444146,10.035989,0.28490371,10.040098,
53,838.60474,-1401.7566,380,0.033138923,10.031074,0.20540002,10.033231,
54,858.84424,-1401.7566,380,0.029494302,10.025646,0.11750367,10.026379,
55,879.08374,-1401.7566,380,0.030091001,10.025149,0.11647534,10.025871,
56,899.32324,-1401.7566,380,0.040382177,10.01594,0.096650444,10.016487,
57,919.56274,-1401.7566,380,0.040382177,10.01594,0.096650444,10.016487,
58,939.80212,-1401.7566,380,0.038610004,10.013908,0.1070677,10.014555,
59,960.04163,-1401.7566,380,0.036845073,10.011891,0.11737982,10.012648,
60,980.28113,-1401.7566,380,0.036873333,10.01191,0.11712204,10.012663,
61,1000.5206,-1401.7566,380,0.037982054,10.012501,0.1123028,10.013203,
62,1020.7601,-1401.7566,380,0.038068332,10.012547,0.11191607,10.013245,
63,1040.9996,-1401.7566,380,0.032071434,10.018186,0.098992988,10.018726,
64,1061.239,-1401.7566,380,0.025596354,10.016302,0.070264503,10.016582,
65,1081.4785,-1401.7566,380,0.025395278,10.020642,0.077522494,10.020974,
66,1101.718,-1401.7566,380,0.024540357,10.023384,0.080965303,10.023741,
67,1121.9575,-1401.7566,380,0.032343384,10.033512,0.081137136,10.033893,
68,1142.197,-1401.7566,380,0.032353669,10.033523,0.081162937,10.033903,
69,1162.4365,-1401.7566,380,0.03235773,10.033526,0.081173129,10.033907,
70,1182.6759,-1401.7566,380,0.022305423,10.00911,0.04979232,10.009259,
71,1202.9154,-1401.7566,380,0.036916167,10.011791,0.083862238,10.012211,
72,1223.1549,-1401.7566,380,0.036917895,10.011791,0.083866172,10.012211,
73,1243.3944,-1401.7566,380,0.038618453,10.013922,0.085962042,10.014365,
74,1263.6339,-1401.7566,380,0.041409627,10.019323,0.086518511,10.019782,
75,1283.8734,-1401.7566,380,0.044094514,10.020892,0.092449471,10.021416,
76,1304.1128,-1401.7566,380,0.029257739,10.005632,0.060696967,10.005859,
77,1324.3523,-1401.7566,380,0.023688199,9.9999332,0.048779789,10.00008,
78,1344.5918,-1401.7566,380,0.023634089,9.9999332,0.048668366,10.000079,
79,1364.8313,-1401.7566,380,0.010818617,10.008376,0.032161657,10.008433,
80,1385.0708,-1401.7566,380,0.010846389,10.008397,0.032244217,10.008454,
81,1405.3103,-1401.7566,380,0.014179584,9.965703,0.040097065,9.9657936,
82,-213.84827,-1381.7499,380,-0.073895223,9.8297148,0.06243822,9.8301907,
83,-193.60878,-1381.7499,380,-0.041656807,9.9803429,0.05325868,9.9805717,
84,-173.36929,-1381.7499,380,-0.058475129,9.9834337,0.053921089,9.9837503,
85,-153.12982,-1381.7499,380,-0.056482587,10.008736,0.049512099,10.009017,
86,-132.89034,-1381.7499,380,-0.071559265,10.031435,0.063331351,10.03189,
87,-112.65086,-1381.7499,380,-0.10296287,10.048203,0.093319908,10.049164,
88,-92.411377,-1381.7499,380,-0.10297971,10.048237,0.093341172,10.049198,
89,-72.17189,-1381.7499,380,-0.10298362,10.048238,0.093344718,10.049199,
90,-51.932404,-1381.7499,380,-0.17834884,10.054205,0.15544456,10.056988,
91,-31.692932,-1381.7499,380,-0.2612237,10.056705,0.22083327,10.06252,
92,-11.453445,-1381.7499,380,-0.1874892,10.029092,0.18815991,10.032608,
93,8.7860413,-1381.7499,380,-0.1112507,10.01241,0.13398632,10.013925,
94,29.025513,-1381.7499,380,-0.11274575,10.013853,0.13565901,10.015407,
95,49.264999,-1381.7499,380,-0.092593908,10.007548,0.16358423,10.009314,
96,69.504471,-1381.7499,380,-0.061788619,9.9979076,0.20629385,10.000227,
97,89.743973,-1381.7499,380,-0.035434999,9.9896593,0.24283414,9.9926739,
98,109.98344,-1381.7499,380,-0.035434857,9.9896603,0.24283317,9.9926739,
99,130.22292,-1381.7499,380,-0.035435647,9.9896603,0.24283859,9.9926739,
100,150.46242,-1381.7499,380,-0.026975665,9.9930725,0.24585992,9.9961329,
101,170.70189,-1381.7499,380,0.010299189,10.006678,0.24045421,10.009571,
102,190.94136,-1381.7499,380,0.042457312,10.019235,0.22681792,10.021892,
103,211.18086,-1381.7499,380,0.06391234,10.034308,0.23318887,10.037221,
104,231.42033,-1381.7499,380,0.07440836,10.041842,0.20953138,10.044303,
105,251.65981,-1381.7499,380,0.076691009,10.028206,0.19359109,10.030367,
106,271.89929,-1381.7499,380,0.075857989,10.018747,0.16417569,10.020379,
107,292.13879,-1381.7499,380,0.093373246,10.074008,0.20773721,10.076582,
108,312.37823,-1381.7499,380,0.097005054,10.091598,0.22183962,10.094501,
109,332.61774,-1381.7499,380,0.10176451,10.114676,0.24033064,10.118042,
110,352.85724,-1381.7499,380,0.096946709,10.109784,0.22805819,10.112821,
111,373.09668,-1381.7499,380,0.071494505,10.100089,0.20063396,10.102335,
112,393.33618,-1381.7499,380,0.057130061,10.107612,0.21527068,10.110065,
113,413.57568,-1381.7499,380,0.065163188,10.141306,0.29492334,10.145802,
114,433.81512,-1381.7499,380,0.065164924,10.141311,0.2949312,10.145808,
115,454.05463,-1381.7499,380,0.068528496,10.114727,0.2800822,10.118836,
116,474.29413,-1381.7499,380,0.059695084,10.098349,0.25827527,10.101828,
117,494.53357,-1381.7499,380,0.036640596,10.101517,0.22734264,10.104141,
118,514.77307,-1381.7499,380,0.015761377,10.123956,0.2124472,10.126197,
119,535.01257,-1381.7499,380,0.010448264,10.144116,0.21833369,10.146471,
120,555.25201,-1381.7499,380,-0.001808617,10.132338,0.25824654,10.135628,
121,575.49152,-1381.7499,380,-0.024223007,10.110813,0.33126789,10.116268,
122,595.73102,-1381.7499,380,-0.047685191,10.063299,0.32623377,10.068699,
123,615.97046,-1381.7499,380,-0.043490499,10.043951,0.32912931,10.049437,
124,636.20996,-1381.7499,380,-0.03836349,10.033125,0.29705325,10.037595,
125,656.44946,-1381.7499,380,-0.035493135,10.028288,0.31529462,10.033306,
126,676.6889,-1381.7499,380,-0.028231911,10.029404,0.3420344,10.035274,
127,696.92841,-1381.7499,380,-0.020240022,10.030287,0.3667433,10.037009,
128,717.16791,-1381.7499,380,0.002791257,10.035151,0.4123441,10.043619,
129,737.40735,-1381.7499,380,0.037595164,10.051511,0.45103785,10.061695,
130,757.64685,-1381.7499,380,0.07254602,10.073153,0.48675847,10.085168,
131,777.88635,-1381.7499,380,0.071355224,10.075528,0.50645077,10.088501,
132,798.12579,-1381.7499,380,0.076890945,10.095383,0.53341818,10.109757,
133,818.36523,-1381.7499,380,0.088850617,10.112492,0.50649714,10.125558,
134,838.60474,-1381.7499,380,0.085879117,10.093472,0.40647259,10.102019,
135,858.84424,-1381.7499,380,0.085327953,10.073041,0.32430688,10.078621,
136,879.08374,-1381.7499,380,0.097091526,10.062008,0.29787773,10.066884,
137,899.32324,-1381.7499,380,0.11247417,10.050458,0.27978909,10.054981,
138,919.56274,-1381.7499,380,0.11274803,10.043418,0.27469087,10.047807,
139,939.80212,-1381.7499,380,0.10836134,10.038898,0.29421014,10.043794,
140,960.04163,-1381.7499,380,0.099251024,10.039025,0.30741039,10.044221,
141,980.28113,-1381.7499,380,0.10388485,10.043278,0.33072481,10.049259,
142,1000.5206,-1381.7499,380,0.10215089,10.04794,0.3211661,10.053591,
