Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,160,-0.016363088,9.9611006,0.010882219,9.9611206,
2,-193.60878,-1401.7566,160,-0.020171838,9.9989929,0.010547567,9.9990187,
3,-173.36929,-1401.7566,160,-0.019681705,9.998517,0.009137572,9.9985409,
4,-153.12982,-1401.7566,160,-0.085453831,9.9988804,0.017991371,9.9992619,
5,-132.89034,-1401.7566,160,-0.11022706,9.9989491,0.021135839,9.9995794,
6,-112.65086,-1401.7566,160,-0.09033794,10.012326,0.01797241,10.01275,
7,-92.411377,-1401.7566,160,-0.087140478,10.014515,0.017465746,10.01491,
8,-72.17189,-1401.7566,160,-0.087197952,10.014524,0.017477265,10.014919,
9,-51.932404,-1401.7566,160,-0.10169493,10.007903,0.023960272,10.008449,
10,-31.692932,-1401.7566,160,-0.11681572,10.000975,0.030731304,10.001704,
11,-11.453445,-1401.7566,160,-0.13126531,9.9991455,0.035148978,10.000069,
12,8.7860413,-1401.7566,160,-0.1784106,9.9931774,0.049562711,9.9948931,
13,29.025513,-1401.7566,160,-0.1784106,9.9931774,0.049562711,9.9948931,
14,49.264999,-1401.7566,160,-0.13847558,9.9949846,0.048011623,9.9960594,
15,69.504471,-1401.7566,160,-0.11511599,9.9960423,0.047104325,9.9968157,
16,89.743973,-1401.7566,160,-0.10649468,9.9847374,0.049613293,9.9854288,
17,109.98344,-1401.7566,160,-0.085784875,9.9575844,0.055640243,9.9581099,
18,130.22292,-1401.7566,160,-0.085784875,9.9575844,0.055640243,9.9581099,
19,150.46242,-1401.7566,160,-0.064936996,9.9767418,0.068224132,9.9771862,
20,170.70189,-1401.7566,160,-0.047620289,9.9926529,0.078676581,9.9930754,
21,190.94136,-1401.7566,160,-0.047620289,9.9926538,0.078676581,9.9930773,
22,211.18086,-1401.7566,160,-0.056962475,9.9819679,0.17390008,9.9836454,
23,231.42033,-1401.7566,160,-0.058040977,9.9807339,0.18489307,9.9826155,
24,251.65981,-1401.7566,160,-0.056500308,9.9808369,0.18055354,9.9826298,
25,271.89929,-1401.7566,160,-0.034686528,9.9822989,0.11911167,9.9830704,
26,292.13879,-1401.7566,160,-0.016304759,9.9883842,0.14602861,9.9894648,
27,312.37823,-1401.7566,160,-0.010030766,9.9935312,0.20498069,9.9956379,
28,332.61774,-1401.7566,160,-0.010030766,9.9935303,0.20498069,9.9956369,
29,352.85724,-1401.7566,160,-0.010030766,9.9935303,0.20498069,9.9956369,
30,373.09668,-1401.7566,160,-0.004753172,9.9889851,0.19466344,9.9908829,
31,393.33618,-1401.7566,160,0.010655187,9.9867764,0.16120602,9.9880829,
32,413.57568,-1401.7566,160,0.002943295,10.009346,0.24018642,10.012227,
33,433.81512,-1401.7566,160,0.002651331,10.00941,0.24279532,10.012355,
34,454.05463,-1401.7566,160,0.002651331,10.00941,0.24279532,10.012355,
