Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,80,-0.007001256,9.9703646,0.005564514,9.9703684,
2,-193.60878,-1401.7566,80,-0.015100406,9.996356,0.000409416,9.9963675,
3,-173.36929,-1401.7566,80,-0.015110053,9.9963541,0.000409678,9.9963655,
4,-153.12982,-1401.7566,80,-0.026153395,10.010397,0.002163195,10.010431,
5,-132.89034,-1401.7566,80,-0.02814864,10.012896,0.002476674,10.012936,
6,-112.65086,-1401.7566,80,-0.04244002,10.015391,-0.00158485,10.015481,
7,-92.411377,-1401.7566,80,-0.063693441,10.019093,-0.007635322,10.019299,
8,-72.17189,-1401.7566,80,-0.11525293,10.001286,-0.004253195,10.00195,
9,-51.932404,-1401.7566,80,-0.11101426,10.000939,-0.001206369,10.001555,
10,-31.692932,-1401.7566,80,-0.10677561,10.000593,0.001840454,10.001163,
11,-11.453445,-1401.7566,80,-0.11933386,9.9927158,0.005256691,9.9934301,
12,8.7860413,-1401.7566,80,-0.11727568,9.9918747,0.00021732,9.9925632,
13,29.025513,-1401.7566,80,-0.11280186,9.9880667,-0.005360313,9.9887056,
14,49.264999,-1401.7566,80,-0.10541371,9.9784966,-0.005670721,9.9790545,
15,69.504471,-1401.7566,80,-0.10272563,9.9741478,-0.00343314,9.974678,
16,89.743973,-1401.7566,80,-0.096212097,9.9710054,-0.004410775,9.9714708,
17,109.98344,-1401.7566,80,-0.085955761,9.9690685,-0.008557743,9.9694424,
18,130.22292,-1401.7566,80,-0.074682347,9.9691,-0.008741138,9.9693832,
19,150.46242,-1401.7566,80,-0.07466121,9.9708548,-0.005184584,9.9711361,
20,170.70189,-1401.7566,80,-0.06794446,9.9719334,0.009766836,9.9721699,
21,190.94136,-1401.7566,80,-0.070706218,9.984889,0.027995825,9.985178,
22,211.18086,-1401.7566,80,-0.070370421,9.9845209,0.030974973,9.9848175,
23,231.42033,-1401.7566,80,-0.069417,9.9834766,0.039433356,9.9837961,
24,251.65981,-1401.7566,80,-0.067840584,9.9817505,0.053418722,9.9821243,
25,271.89929,-1401.7566,80,-0.041057013,9.9428129,0.051622689,9.9430313,
26,292.13879,-1401.7566,80,-0.038759932,9.9698544,0.001821294,9.9699297,
27,312.37823,-1401.7566,80,-0.040654123,9.9670782,0.037071206,9.9672298,
28,332.61774,-1401.7566,80,-0.039129458,9.9535246,0.15051016,9.9547396,
29,352.85724,-1401.7566,80,-0.029983707,9.954648,0.11762064,9.9553881,
30,373.09668,-1401.7566,80,-0.010682922,9.9587574,0.072224513,9.9590254,
31,393.33618,-1401.7566,80,0.001661922,9.9677124,0.10990946,9.968318,
32,413.57568,-1401.7566,80,-0.013263154,9.9855452,0.080263801,9.9858761,
33,433.81512,-1401.7566,80,-0.031262171,9.9913578,0.17964819,9.993022,
34,454.05463,-1401.7566,80,-0.081885293,9.9804993,0.12389784,9.9816046,
35,474.29413,-1401.7566,80,-0.1259044,9.9686699,0.046011247,9.9695711,
36,494.53357,-1401.7566,80,-0.12916628,9.9677925,0.040239744,9.9687109,
37,514.77307,-1401.7566,80,-0.10742739,9.9652491,0.050022632,9.9659538,
38,535.01257,-1401.7566,80,-0.090938464,9.9526978,0.035799209,9.9531775,
39,555.25201,-1401.7566,80,-0.091425247,9.9522896,0.034630693,9.9527693,
40,575.49152,-1401.7566,80,-0.066703655,9.9364996,0.051915996,9.9368591,
41,595.73102,-1401.7566,80,-0.039912991,9.9560375,0.05410156,9.9562645,
42,615.97046,-1401.7566,80,-0.040673427,9.9564934,0.058313321,9.9567471,
43,636.20996,-1401.7566,80,-0.040668745,9.9564991,0.058306608,9.9567528,
44,656.44946,-1401.7566,80,-0.095031507,10.006557,0.026466763,10.007043,
45,676.6889,-1401.7566,80,-0.095044732,10.006557,0.026470447,10.007044,
46,696.92841,-1401.7566,80,-0.095057964,10.006558,0.026474129,10.007045,
47,717.16791,-1401.7566,80,-0.3657093,9.978199,-0.041067347,9.9849825,
48,737.40735,-1401.7566,80,-0.36938113,9.9700022,-0.062332194,9.9770374,
49,757.64685,-1401.7566,80,-0.34544241,9.9522257,-0.07951095,9.9585371,
50,777.88635,-1401.7566,80,-0.21611069,9.8561878,-0.17232111,9.8600626,
51,798.12579,-1401.7566,80,0.0010086,9.8212833,-0.14122757,9.822298,
52,818.36523,-1401.7566,80,0.36911207,9.8742847,-0.11515854,9.8818521,
53,838.60474,-1401.7566,80,0.42901397,9.8874807,-0.11200226,9.8974171,
54,858.84424,-1401.7566,80,0.29765552,10.015409,-0.043080445,10.019923,
55,879.08374,-1401.7566,80,0.28555599,10.020834,0.012211569,10.024909,
56,899.32324,-1401.7566,80,0.18084398,10.005798,0.057939056,10.0076,
