Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,100,-0.007008976,9.9703312,0.005570649,9.970335,
2,-193.60878,-1401.7566,100,-0.015143885,9.9963455,0.000410595,9.996357,
3,-173.36929,-1401.7566,100,-0.01512646,9.9963493,0.000410123,9.9963608,
4,-153.12982,-1401.7566,100,-0.028107263,10.012877,0.002473033,10.012918,
5,-132.89034,-1401.7566,100,-0.028161306,10.012902,0.002477788,10.012942,
6,-112.65086,-1401.7566,100,-0.037971582,10.011265,0.004701231,10.011338,
7,-92.411377,-1401.7566,100,-0.08842501,10.012333,0.015098157,10.012734,
8,-72.17189,-1401.7566,100,-0.099328861,9.9999914,0.007121083,10.000487,
9,-51.932404,-1401.7566,100,-0.099361479,9.9999914,0.007123421,10.000488,
10,-31.692932,-1401.7566,100,-0.10217644,9.999135,0.007405796,9.9996595,
11,-11.453445,-1401.7566,100,-0.12022433,9.995512,0.013262495,9.9962444,
12,8.7860413,-1401.7566,100,-0.11969327,9.9969978,0.016039981,9.9977274,
13,29.025513,-1401.7566,100,-0.11969327,9.9969978,0.016039981,9.9977274,
14,49.264999,-1401.7566,100,-0.10198063,9.9727936,-0.001722851,9.9733152,
15,69.504471,-1401.7566,100,-0.10138662,9.971982,-0.002318543,9.9724979,
16,89.743973,-1401.7566,100,-0.10138662,9.971983,-0.002318543,9.9724989,
17,109.98344,-1401.7566,100,-0.10120873,9.972147,-0.002103592,9.972661,
18,130.22292,-1401.7566,100,-0.083535932,9.9884987,0.019250294,9.9888668,
19,150.46242,-1401.7566,100,-0.074425794,9.9904079,0.034433313,9.9907446,
20,170.70189,-1401.7566,100,-0.074425794,9.990407,0.034433313,9.9907436,
21,190.94136,-1401.7566,100,-0.0686858,9.9830112,0.055077583,9.9833994,
22,211.18086,-1401.7566,100,-0.066949844,9.9807739,0.061321046,9.9811869,
23,231.42033,-1401.7566,100,-0.066949844,9.9807749,0.061321046,9.9811878,
24,251.65981,-1401.7566,100,-0.066949844,9.9807749,0.061321046,9.9811878,
25,271.89929,-1401.7566,100,-0.056301765,9.9651642,0.057332724,9.9654884,
26,292.13879,-1401.7566,100,-0.039001636,9.9617863,0.015466549,9.961874,
27,312.37823,-1401.7566,100,-0.045960382,9.959301,0.13581793,9.9603329,
28,332.61774,-1401.7566,100,-0.049500056,9.954113,0.20168939,9.9562788,
29,352.85724,-1401.7566,100,-0.040660325,9.9574661,0.19642738,9.959486,
30,373.09668,-1401.7566,100,0.006026099,9.9751835,0.16863629,9.9766111,
31,393.33618,-1401.7566,100,0.009670136,9.9765663,0.16646712,9.9779596,
32,413.57568,-1401.7566,100,-0.015408073,9.9862385,0.092107311,9.9866753,
33,433.81512,-1401.7566,100,-0.035900921,9.992857,0.20526177,9.9950294,
34,454.05463,-1401.7566,100,-0.044846132,9.9904528,0.18943426,9.9923496,
35,474.29413,-1401.7566,100,-0.072018042,9.9831505,0.1413568,9.9844112,
36,494.53357,-1401.7566,100,-0.088538162,9.9659443,0.065105543,9.9665499,
37,514.77307,-1401.7566,100,-0.0798418,9.9620209,0.06243664,9.9625368,
38,535.01257,-1401.7566,100,-0.089423299,9.9539709,0.039436348,9.9544506,
39,555.25201,-1401.7566,100,-0.063163482,9.9342384,0.05439128,9.9345884,
40,575.49152,-1401.7566,100,-0.032592919,9.964756,0.12853108,9.9656382,
41,595.73102,-1401.7566,100,-0.041730583,9.9895325,0.10409214,9.9901619,
42,615.97046,-1401.7566,100,-0.041665629,9.9874897,0.10126259,9.9880905,
43,636.20996,-1401.7566,100,-0.041004874,9.9667072,0.072478347,9.9670553,
44,656.44946,-1401.7566,100,-0.10113369,10.007993,0.032943919,10.008558,
45,676.6889,-1401.7566,100,-0.27277043,10.031353,0.1349903,10.035969,
46,696.92841,-1401.7566,100,-0.35027394,10.042166,0.18231639,10.049927,
47,717.16791,-1401.7566,100,-0.5407691,10.00343,0.14138116,10.019034,
48,737.40735,-1401.7566,100,-0.53913933,9.9796219,0.056690309,9.9943352,
49,757.64685,-1401.7566,100,-0.38317424,9.9707832,-0.052661452,9.978282,
50,777.88635,-1401.7566,100,-0.11069594,9.8310108,-0.1534456,9.8328314,
51,798.12579,-1401.7566,100,0.1385318,9.8026161,-0.080526322,9.8039255,
52,818.36523,-1401.7566,100,0.27849075,9.8484287,-0.009778558,9.8523703,
53,838.60474,-1401.7566,100,0.39992878,9.9773092,0.005367531,9.985323,
54,858.84424,-1401.7566,100,0.40024927,10.033548,0.005664756,10.041531,
55,879.08374,-1401.7566,100,0.28555599,10.020834,0.012211569,10.024909,
56,899.32324,-1401.7566,100,0.15997036,10.007547,0.068990774,10.009064,
57,919.56274,-1401.7566,100,0.13714337,10.014118,0.090478323,10.015466,
58,939.80212,-1401.7566,100,0.030773796,9.9894638,0.13479784,9.9904213,
59,960.04163,-1401.7566,100,0.0130556,10.005584,0.22521856,10.008126,
60,980.28113,-1401.7566,100,-0.019478979,9.9952097,0.22035831,9.9976578,
61,1000.5206,-1401.7566,100,-0.10379604,9.9728088,0.21127176,9.9755859,
62,1020.7601,-1401.7566,100,-0.18434462,9.9508038,0.18230706,9.9541807,
63,1040.9996,-1401.7566,100,-0.17778382,9.9093742,0.28944319,9.9151945,
64,1061.239,-1401.7566,100,-0.080591306,9.9471664,0.36949781,9.9543533,
65,1081.4785,-1401.7566,100,0.037644736,9.9112663,0.43374011,9.9208241,
66,1101.718,-1401.7566,100,0.094114073,9.893713,0.4643108,9.9050493,
67,1121.9575,-1401.7566,100,0.11737823,9.9591465,0.30027834,9.9643641,
68,1142.197,-1401.7566,100,0.10078299,10.002251,0.32339081,10.007985,
69,1162.4365,-1401.7566,100,0.088840842,10.008692,0.23981839,10.011959,
70,1182.6759,-1401.7566,100,0.021483738,9.9318113,0.20563357,9.9339628,
71,1202.9154,-1401.7566,100,0.13840842,9.9059639,0.24839453,9.9100447,
72,1223.1549,-1401.7566,100,0.13842593,9.9059515,0.24842598,9.9100332,
73,1243.3944,-1401.7566,100,0.3411262,9.9285994,0.26955205,9.9381142,
74,1263.6339,-1401.7566,100,0.31168973,9.9800444,0.27026972,9.9885674,
75,1283.8734,-1401.7566,100,0.31959358,10.02213,0.25555322,10.03048,
76,1304.1128,-1401.7566,100,0.26285073,10.016055,0.11582753,10.020173,
77,1324.3523,-1401.7566,100,0.20076141,10.030897,0.092795461,10.033336,
78,1344.5918,-1401.7566,100,0.12303721,10.009494,0.048868131,10.010369,
79,1364.8313,-1401.7566,100,0.15033798,9.9904051,0.057770975,9.991703,
80,1385.0708,-1401.7566,100,0.095398039,10.012359,0.059643883,10.012991,
81,1405.3103,-1401.7566,100,0.027209293,9.9587317,0.074196555,9.9590454,
82,-213.84827,-1381.7499,100,-0.025418282,9.9068384,0.018053785,9.906888,
83,-193.60878,-1381.7499,100,-0.04639136,9.9889479,0.001943613,9.9890556,
84,-173.36929,-1381.7499,100,-0.052702256,9.9974346,0.002709231,9.9975739,
85,-153.12982,-1381.7499,100,-0.082511157,10.035998,0.007102794,10.03634,
86,-132.89034,-1381.7499,100,-0.084774807,10.038838,0.007458958,10.039199,
87,-112.65086,-1381.7499,100,-0.11238822,10.041214,0.008535126,10.041847,
88,-92.411377,-1381.7499,100,-0.21623021,10.049494,0.014754273,10.05183,
89,-72.17189,-1381.7499,100,-0.25061285,10.032047,0.01407911,10.035187,
90,-51.932404,-1381.7499,100,-0.27681488,10.011572,0.012591966,10.015407,
91,-31.692932,-1381.7499,100,-0.33232704,9.9895821,0.024802558,9.9951391,
92,-11.453445,-1381.7499,100,-0.36302719,9.9806061,0.028753111,9.9872475,
93,8.7860413,-1381.7499,100,-0.36210832,9.9831781,0.033558846,9.9897995,
94,29.025513,-1381.7499,100,-0.34197155,9.9617834,0.022526529,9.9676771,
95,49.264999,-1381.7499,100,-0.31822172,9.9348297,0.006939013,9.9399271,
96,69.504471,-1381.7499,100,-0.30436173,9.9158907,-0.006960245,9.9205627,
97,89.743973,-1381.7499,100,-0.30436173,9.9158907,-0.006960245,9.9205627,
98,109.98344,-1381.7499,100,-0.28126377,9.9372616,0.020948838,9.9412632,
99,130.22292,-1381.7499,100,-0.24322897,9.9514027,0.038884897,9.9544506,
100,150.46242,-1381.7499,100,-0.22372398,9.9464188,0.053150102,9.9490757,
101,170.70189,-1381.7499,100,-0.2132428,9.9317131,0.10162345,9.9345217,
102,190.94136,-1381.7499,100,-0.2067132,9.9269037,0.13081928,9.9299173,
103,211.18086,-1381.7499,100,-0.19618282,9.9444971,0.14238767,9.9474506,
104,231.42033,-1381.7499,100,-0.19939341,9.9428511,0.15628098,9.9460783,
105,251.65981,-1381.7499,100,-0.16227134,9.8855305,0.16958553,9.8883162,
106,271.89929,-1381.7499,100,-0.13391012,9.8439484,0.15896262,9.8461418,
107,292.13879,-1381.7499,100,-0.11906393,9.8428688,0.13015616,9.844449,
108,312.37823,-1381.7499,100,-0.12727514,9.8534613,0.2561295,9.8576117,
109,332.61774,-1381.7499,100,-0.11525918,9.7923803,0.32933971,9.7985945,
110,352.85724,-1381.7499,100,-0.043674208,9.8490858,0.39126962,9.8569517,
111,373.09668,-1381.7499,100,-0.006664068,9.8714724,0.38174829,9.8788538,
112,393.33618,-1381.7499,100,0.011313611,9.9054327,0.35733747,9.9118834,
113,413.57568,-1381.7499,100,-0.030350309,9.9516697,0.33882374,9.9574823,
114,433.81512,-1381.7499,100,-0.087820113,9.95788,0.37263465,9.9652367,
115,454.05463,-1381.7499,100,-0.17772037,9.9427633,0.41037413,9.9528151,
116,474.29413,-1381.7499,100,-0.19618288,9.9266605,0.31303626,9.9335327,
117,494.53357,-1381.7499,100,-0.208363,9.9073849,0.27560827,9.9134073,
118,514.77307,-1381.7499,100,-0.21764001,9.8884573,0.21887419,9.8932734,
119,535.01257,-1381.7499,100,-0.2010451,9.8478441,0.19808836,9.8518877,
120,555.25201,-1381.7499,100,-0.14852458,9.7845497,0.20058528,9.7877321,
121,575.49152,-1381.7499,100,-0.11960228,9.8453045,0.30340853,9.8507051,
122,595.73102,-1381.7499,100,-0.13455559,9.8835325,0.25322253,9.8876915,
