Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,140,-0.016716909,9.961483,0.008486504,9.9615002,
2,-193.60878,-1401.7566,140,-0.01719895,9.9962244,0.002279278,9.9962397,
3,-173.36929,-1401.7566,140,-0.017202793,9.9962244,0.002279787,9.9962397,
4,-153.12982,-1401.7566,140,-0.073569454,9.9978781,0.013706155,9.9981585,
5,-132.89034,-1401.7566,140,-0.11018453,9.9989491,0.02112768,9.9995785,
6,-112.65086,-1401.7566,140,-0.098127037,10.00712,0.019212887,10.00762,
7,-92.411377,-1401.7566,140,-0.087155014,10.014518,0.017468659,10.014913,
8,-72.17189,-1401.7566,140,-0.08721672,10.014528,0.017481027,10.014923,
9,-51.932404,-1401.7566,140,-0.1138283,10.002343,0.02939355,10.003034,
10,-31.692932,-1401.7566,140,-0.11578982,10.000916,0.029342843,10.001629,
11,-11.453445,-1401.7566,140,-0.15282542,9.9947815,0.036482796,9.9960165,
12,8.7860413,-1401.7566,140,-0.16546437,9.9940195,0.042171489,9.9954786,
13,29.025513,-1401.7566,140,-0.16618104,9.9939737,0.042580649,9.9954462,
14,49.264999,-1401.7566,140,-0.14768851,9.9904127,0.042604089,9.9915953,
15,69.504471,-1401.7566,140,-0.11277149,9.9919329,0.038664609,9.9926443,
16,89.743973,-1401.7566,140,-0.11246347,9.991394,0.037555799,9.9920979,
17,109.98344,-1401.7566,140,-0.085784875,9.9575844,0.055640243,9.9581099,
18,130.22292,-1401.7566,140,-0.085784875,9.9575844,0.055640243,9.9581099,
19,150.46242,-1401.7566,140,-0.082355961,9.9607363,0.057709955,9.9612446,
20,170.70189,-1401.7566,140,-0.047620289,9.9926538,0.078676581,9.9930773,
21,190.94136,-1401.7566,140,-0.047620289,9.9926529,0.078676581,9.9930754,
22,211.18086,-1401.7566,140,-0.055610646,9.9844007,0.14153236,9.9855585,
23,231.42033,-1401.7566,140,-0.059367154,9.9807396,0.16649814,9.9823055,
24,251.65981,-1401.7566,140,-0.041145086,9.9818659,0.1373032,9.9828949,
25,271.89929,-1401.7566,140,-0.022748103,9.9830999,0.085485257,9.9834919,
26,292.13879,-1401.7566,140,-0.018728532,9.9863958,0.12325419,9.987174,
27,312.37823,-1401.7566,140,-0.010030766,9.9935303,0.20498069,9.9956369,
28,332.61774,-1401.7566,140,-0.010030766,9.9935293,0.20498069,9.995636,
29,352.85724,-1401.7566,140,-0.018297235,9.9809628,0.19956648,9.982975,
30,373.09668,-1401.7566,140,0.006497347,9.9792986,0.17266965,9.9807949,
31,393.33618,-1401.7566,140,0.009670136,9.9765663,0.16646712,9.9779596,
