Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,280,-0.013910679,9.961174,0.03082384,9.9612312,
2,-193.60878,-1401.7566,280,-0.010969761,9.9959745,0.020775866,9.9960022,
3,-173.36929,-1401.7566,280,-0.010942735,9.995985,0.02072468,9.9960127,
4,-153.12982,-1401.7566,280,-0.032204226,9.998167,0.024641909,9.9982491,
5,-132.89034,-1401.7566,280,-0.032279197,9.9981632,0.024699274,9.9982462,
6,-112.65086,-1401.7566,280,-0.052252878,10.009139,0.031404588,10.009324,
7,-92.411377,-1401.7566,280,-0.056316368,10.009636,0.033867415,10.009851,
8,-72.17189,-1401.7566,280,-0.0664903,10.007413,0.042052384,10.007722,
9,-51.932404,-1401.7566,280,-0.093050495,10.006329,0.060074572,10.006942,
10,-31.692932,-1401.7566,280,-0.09681844,10.007119,0.061964791,10.007779,
11,-11.453445,-1401.7566,280,-0.099611647,9.9845047,0.083976872,9.9853544,
12,8.7860413,-1401.7566,280,-0.099611647,9.9845047,0.083976872,9.9853544,
13,29.025513,-1401.7566,280,-0.099611647,9.9845037,0.083976872,9.9853535,
14,49.264999,-1401.7566,280,-0.099611647,9.9845047,0.083976872,9.9853544,
15,69.504471,-1401.7566,280,-0.099611647,9.9845047,0.083976872,9.9853544,
16,89.743973,-1401.7566,280,-0.11070649,9.9763403,0.14844139,9.9780588,
17,109.98344,-1401.7566,280,-0.018731339,9.9741802,0.058210552,9.9743671,
18,130.22292,-1401.7566,280,-0.018731339,9.9741812,0.058210552,9.974369,
19,150.46242,-1401.7566,280,-0.003174071,9.9876776,0.079188555,9.9879913,
20,170.70189,-1401.7566,280,0.006622782,9.9931812,0.099656343,9.993681,
21,190.94136,-1401.7566,280,0.016843291,9.993022,0.13531455,9.9939518,
22,211.18086,-1401.7566,280,0.037092607,9.9946804,0.26799276,9.9983416,
23,231.42033,-1401.7566,280,0.037092607,9.9946804,0.26799276,9.9983416,
24,251.65981,-1401.7566,280,0.037965879,9.995615,0.26120391,9.9990997,
25,271.89929,-1401.7566,280,0.046842229,10.005118,0.19219872,10.007074,
26,292.13879,-1401.7566,280,0.047762129,10.006476,0.18122765,10.008231,
27,312.37823,-1401.7566,280,0.059908405,10.005835,0.17408121,10.007527,
28,332.61774,-1401.7566,280,0.051002182,10.006353,0.14257368,10.007499,
29,352.85724,-1401.7566,280,0.039755624,10.007176,0.12340353,10.008016,
30,373.09668,-1401.7566,280,0.035541769,10.00802,0.14784753,10.009175,
31,393.33618,-1401.7566,280,0.034659043,10.007399,0.14627424,10.008527,
32,413.57568,-1401.7566,280,0.013166193,10.004771,0.13613582,10.005706,
33,433.81512,-1401.7566,280,0.010443119,10.005762,0.13377446,10.006661,
34,454.05463,-1401.7566,280,0.008529312,10.006737,0.13666792,10.007674,
35,474.29413,-1401.7566,280,-0.013496548,10.011589,0.2791819,10.015491,
36,494.53357,-1401.7566,280,-0.019428141,10.014165,0.3029958,10.018766,
37,514.77307,-1401.7566,280,-0.017822886,10.013375,0.2960057,10.017765,
38,535.01257,-1401.7566,280,-0.015565532,10.014242,0.18913177,10.016041,
39,555.25201,-1401.7566,280,-0.036454145,10.01336,0.13945845,10.014398,
40,575.49152,-1401.7566,280,-0.066096507,10.016655,0.18961114,10.018667,
41,595.73102,-1401.7566,280,-0.066096507,10.016655,0.18961114,10.018667,
42,615.97046,-1401.7566,280,-0.071380101,10.017142,0.1972352,10.019339,
43,636.20996,-1401.7566,280,-0.15788305,10.029285,0.29748261,10.034938,
44,656.44946,-1401.7566,280,-0.15788305,10.029286,0.29748261,10.034939,
45,676.6889,-1401.7566,280,-0.14642297,10.003815,0.25233266,10.008068,
46,696.92841,-1401.7566,280,-0.14433368,9.9991722,0.24410138,10.003193,
47,717.16791,-1401.7566,280,-0.16790251,9.9903431,0.32823575,9.9971437,
48,737.40735,-1401.7566,280,-0.16363737,9.9908419,0.36408433,9.9988127,
49,757.64685,-1401.7566,280,-0.12034142,9.9713497,0.46874833,9.9830866,
50,777.88635,-1401.7566,280,-0.12024391,9.928525,0.49725175,9.9416962,
51,798.12579,-1401.7566,280,0.069968872,9.9560652,0.5409053,9.970994,
52,818.36523,-1401.7566,280,0.14781889,9.9710426,0.51336557,9.9853439,
53,838.60474,-1401.7566,280,0.28157187,9.9820623,0.45879409,9.9965668,
54,858.84424,-1401.7566,280,0.25494117,10.016758,0.36784002,10.026752,
55,879.08374,-1401.7566,280,0.15865001,10.033833,0.27298763,10.038799,
56,899.32324,-1401.7566,280,0.067360178,10.027683,0.20070437,10.029918,
57,919.56274,-1401.7566,280,0.045966342,10.03209,0.17703851,10.033757,
58,939.80212,-1401.7566,280,0.069810562,10.021297,0.21751735,10.023901,
59,960.04163,-1401.7566,280,0.069810562,10.021298,0.21751735,10.023902,
