Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,180,-0.016367553,9.9610901,0.010885188,9.9611092,
2,-193.60878,-1401.7566,180,-0.020190472,9.998992,0.01055731,9.9990177,
3,-173.36929,-1401.7566,180,-0.020182615,9.9989929,0.010553203,9.9990187,
4,-153.12982,-1401.7566,180,-0.086929537,9.9989624,0.018383566,9.9993572,
5,-132.89034,-1401.7566,180,-0.11015535,9.99895,0.021122087,9.9995785,
6,-112.65086,-1401.7566,180,-0.094271705,10.009686,0.018598303,10.010146,
7,-92.411377,-1401.7566,180,-0.087153085,10.014517,0.017468274,10.014912,
8,-72.17189,-1401.7566,180,-0.087215483,10.014528,0.017480779,10.014923,
9,-51.932404,-1401.7566,180,-0.11505176,10.001782,0.029941412,10.002489,
10,-31.692932,-1401.7566,180,-0.11681572,10.000974,0.030731304,10.001703,
11,-11.453445,-1401.7566,180,-0.1468375,9.9971743,0.039909869,9.998332,
12,8.7860413,-1401.7566,180,-0.1784106,9.9931774,0.049562711,9.9948931,
13,29.025513,-1401.7566,180,-0.15559585,9.9929543,0.049879603,9.9942904,
14,49.264999,-1401.7566,180,-0.10559297,9.9931927,0.049876139,9.9938745,
15,69.504471,-1401.7566,180,-0.11511599,9.9960423,0.047104325,9.9968157,
16,89.743973,-1401.7566,180,-0.090437755,9.963686,0.054286167,9.9642439,
17,109.98344,-1401.7566,180,-0.085784875,9.9575853,0.055640243,9.9581108,
18,130.22292,-1401.7566,180,-0.085784875,9.9575844,0.055640243,9.9581099,
19,150.46242,-1401.7566,180,-0.073324881,9.9690342,0.063161157,9.9695044,
20,170.70189,-1401.7566,180,-0.047620289,9.9926538,0.078676581,9.9930773,
21,190.94136,-1401.7566,180,-0.037439,9.990099,0.1030024,9.9907007,
22,211.18086,-1401.7566,180,-0.026455311,9.9853907,0.1612165,9.9867268,
23,231.42033,-1401.7566,180,-0.027572561,9.9852285,0.16388349,9.9866114,
24,251.65981,-1401.7566,180,-0.022479361,9.98598,0.16037145,9.9872932,
25,271.89929,-1401.7566,180,0.00093874,9.9864235,0.14183486,9.9874306,
26,292.13879,-1401.7566,180,0.019419879,9.9939651,0.18493147,9.9956951,
27,312.37823,-1401.7566,180,0.021090155,9.997261,0.20571911,9.9993992,
28,332.61774,-1401.7566,180,0.014904253,9.9965181,0.20557234,9.9986429,
29,352.85724,-1401.7566,180,-0.009952373,9.9935579,0.20475958,9.9956598,
30,373.09668,-1401.7566,180,0.008788539,10.000286,0.15190127,10.001443,
31,393.33618,-1401.7566,180,0.014867926,10.010972,0.15922859,10.012249,
32,413.57568,-1401.7566,180,0.007980443,10.008245,0.19517624,10.010152,
33,433.81512,-1401.7566,180,0.002651331,10.009411,0.24279532,10.012356,
34,454.05463,-1401.7566,180,0.002236606,10.008796,0.21791819,10.011168,
35,474.29413,-1401.7566,180,-0.012727065,10.012577,0.18115839,10.014224,
36,494.53357,-1401.7566,180,-0.050965279,9.9895229,0.2879495,9.9938021,
37,514.77307,-1401.7566,180,-0.052523196,9.9873314,0.27603266,9.9912834,
38,535.01257,-1401.7566,180,-0.05717162,9.9807949,0.24047591,9.9838552,
39,555.25201,-1401.7566,180,-0.047158398,9.993309,0.20092608,9.9954405,
40,575.49152,-1401.7566,180,-0.080945663,10.013089,0.22907048,10.016036,
41,595.73102,-1401.7566,180,-0.12013024,9.9986286,0.29269353,10.003633,
42,615.97046,-1401.7566,180,-0.11639614,10.022738,0.19184256,10.025249,
43,636.20996,-1401.7566,180,-0.14774959,10.028072,0.22774187,10.031746,
44,656.44946,-1401.7566,180,-0.25786817,10.030764,0.26818457,10.037661,
45,676.6889,-1401.7566,180,-0.38739574,10.03219,0.27811557,10.043519,
46,696.92841,-1401.7566,180,-0.38739574,10.03219,0.27811557,10.043519,
47,717.16791,-1401.7566,180,-0.38927978,10.031551,0.2564927,10.042377,
48,737.40735,-1401.7566,180,-0.42678982,10.012585,0.12703262,10.022482,
49,757.64685,-1401.7566,180,-0.36472422,9.8131628,0.33540905,9.8256645,
50,777.88635,-1401.7566,180,-0.21131447,9.7938213,0.31856531,9.8012791,
51,798.12579,-1401.7566,180,-0.21131447,9.7938223,0.31856531,9.80128,
52,818.36523,-1401.7566,180,0.36521611,9.862381,0.27811623,9.8730583,
53,838.60474,-1401.7566,180,0.65281618,10.000153,0.35133883,10.027595,
54,858.84424,-1401.7566,180,0.54134834,10.02782,0.26804698,10.045998,
55,879.08374,-1401.7566,180,0.43846351,10.052629,0.21678495,10.064522,
56,899.32324,-1401.7566,180,0.17000228,10.031503,0.17247586,10.034426,
57,919.56274,-1401.7566,180,0.17000228,10.031503,0.17247586,10.034426,
58,939.80212,-1401.7566,180,0.087182611,10.01585,0.25105295,10.019375,
59,960.04163,-1401.7566,180,0.066026926,10.011851,0.27112487,10.015739,
