Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,60,-0.024769446,9.9503231,-0.002398221,9.9503536,
2,-193.60878,-1401.7566,60,-0.024888754,9.992754,0.002104668,9.9927855,
3,-173.36929,-1401.7566,60,-0.015892075,9.9960651,0.000545909,9.9960775,
4,-153.12982,-1401.7566,60,-0.024013415,10.00768,0.001823759,10.007709,
5,-132.89034,-1401.7566,60,-0.048416626,10.016409,-0.003316732,10.016526,
6,-112.65086,-1401.7566,60,-0.063558437,10.019053,-0.007619138,10.019258,
7,-92.411377,-1401.7566,60,-0.06369213,10.019093,-0.007635165,10.019299,
8,-72.17189,-1401.7566,60,-0.063728042,10.019103,-0.007639469,10.019308,
9,-51.932404,-1401.7566,60,-0.12248755,10.001869,-0.009385664,10.002624,
10,-31.692932,-1401.7566,60,-0.12251256,10.001869,-0.00938758,10.002624,
11,-11.453445,-1401.7566,60,-0.13738164,9.9979067,-0.010100572,9.9988556,
12,8.7860413,-1401.7566,60,-0.16024172,9.9918175,-0.011197131,9.9931087,
13,29.025513,-1401.7566,60,-0.160256,9.9918175,-0.011198129,9.9931087,
14,49.264999,-1401.7566,60,-0.13845551,9.9944725,-0.011923854,9.9954386,
15,69.504471,-1401.7566,60,-0.088220417,10.000588,-0.013595292,10.000987,
16,89.743973,-1401.7566,60,-0.077156253,9.973175,-0.013187832,9.9734821,
17,109.98344,-1401.7566,60,-0.074648313,9.9669724,-0.013094944,9.9672604,
18,130.22292,-1401.7566,60,-0.074695714,9.9669523,-0.01310326,9.9672413,
19,150.46242,-1401.7566,60,-0.074696444,9.9669514,-0.013103386,9.9672403,
20,170.70189,-1401.7566,60,-0.058469668,9.9769382,-0.005406323,9.9771109,
21,190.94136,-1401.7566,60,-0.066818096,9.9831753,-0.003648197,9.9833994,
22,211.18086,-1401.7566,60,-0.074080765,9.9886084,-0.002116597,9.988884,
23,231.42033,-1401.7566,60,-0.074087054,9.9886074,-0.002116777,9.9888821,
24,251.65981,-1401.7566,60,-0.074093394,9.9886065,-0.002116957,9.9888821,
25,271.89929,-1401.7566,60,-0.056706958,9.9574299,-0.025613986,9.9576244,
26,292.13879,-1401.7566,60,-0.038750909,9.969862,0.00182087,9.9699373,
27,312.37823,-1401.7566,60,-0.038755078,9.9698591,0.001821066,9.9699345,
28,332.61774,-1401.7566,60,-0.017508551,9.9418545,0.00427983,9.9418707,
29,352.85724,-1401.7566,60,-0.010026652,9.9552746,0.026815878,9.9553156,
30,373.09668,-1401.7566,60,-0.009646359,9.9552183,0.030018477,9.9552679,
31,393.33618,-1401.7566,60,-0.00964692,9.9552155,0.030020222,9.955265,
32,413.57568,-1401.7566,60,-0.010804784,9.9649086,0.046092305,9.9650202,
33,433.81512,-1401.7566,60,-0.036220796,9.9781342,0.065498874,9.9784145,
