Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,400,-0.031065799,9.9313717,0.018424049,9.9314365,
2,-193.60878,-1401.7566,400,-0.013647201,9.991148,0.014914634,9.991168,
3,-173.36929,-1401.7566,400,-0.013663395,9.9911385,0.014932332,9.9911585,
4,-153.12982,-1401.7566,400,-0.018591333,9.9937239,0.018365381,9.9937582,
5,-132.89034,-1401.7566,400,-0.0397483,10.006699,0.033311065,10.006833,
6,-112.65086,-1401.7566,400,-0.035620254,10.013674,0.031600118,10.013787,
7,-92.411377,-1401.7566,400,-0.034244619,10.01604,0.031039445,10.016147,
8,-72.17189,-1401.7566,400,-0.034243088,10.01604,0.031038055,10.016147,
9,-51.932404,-1401.7566,400,-0.034237694,10.016038,0.031033166,10.016145,
10,-31.692932,-1401.7566,400,-0.065590225,10.01819,0.056633312,10.018565,
11,-11.453445,-1401.7566,400,-0.036188222,10.003356,0.043651979,10.003517,
12,8.7860413,-1401.7566,400,-0.033746954,10.000989,0.040921554,10.001129,
13,29.025513,-1401.7566,400,-0.034449421,10.001664,0.041707847,10.001811,
14,49.264999,-1401.7566,400,-0.027334403,10.00381,0.043993935,10.003944,
15,69.504471,-1401.7566,400,-0.012088869,9.9975033,0.074928679,9.9977913,
16,89.743973,-1401.7566,400,-0.011783746,9.996562,0.080753379,9.9968948,
17,109.98344,-1401.7566,400,-0.011782679,9.996562,0.08074607,9.9968948,
18,130.22292,-1401.7566,400,-0.01178441,9.9965611,0.080757931,9.9968939,
19,150.46242,-1401.7566,400,-0.0116102,9.9966764,0.080136351,9.9970045,
20,170.70189,-1401.7566,400,0.012564899,10.004448,0.064170443,10.004662,
21,190.94136,-1401.7566,400,0.012452608,10.003995,0.058819063,10.004175,
22,211.18086,-1401.7566,400,0.016396891,10.006776,0.055936396,10.006946,
23,231.42033,-1401.7566,400,0.030806007,9.9988403,0.061177712,9.9990749,
24,251.65981,-1401.7566,400,0.030886015,9.9986553,0.061089724,9.9988899,
25,271.89929,-1401.7566,400,0.025938116,9.9980106,0.048682984,9.9981632,
26,292.13879,-1401.7566,400,0.025572028,9.997962,0.047761824,9.9981089,
27,312.37823,-1401.7566,400,0.028097205,10.010196,0.057568233,10.010401,
28,332.61774,-1401.7566,400,0.033864535,10.03816,0.079975687,10.038536,
29,352.85724,-1401.7566,400,0.033861142,10.038157,0.07996767,10.038532,
30,373.09668,-1401.7566,400,0.024670674,10.028828,0.056557029,10.029017,
31,393.33618,-1401.7566,400,0.021679763,10.047012,0.098120853,10.047515,
32,413.57568,-1401.7566,400,0.021684391,10.047023,0.098141804,10.047525,
33,433.81512,-1401.7566,400,0.022673767,10.03926,0.093824387,10.039724,
34,454.05463,-1401.7566,400,0.028471868,9.9934378,0.068230473,9.9937115,
35,474.29413,-1401.7566,400,0.025223088,9.9883385,0.060956918,9.9885559,
36,494.53357,-1401.7566,400,0.016577028,9.9981823,0.058056075,9.9983644,
37,514.77307,-1401.7566,400,0.009571284,10.024776,0.065833062,10.024997,
38,535.01257,-1401.7566,400,0.00347374,10.047915,0.072589517,10.048178,
39,555.25201,-1401.7566,400,-0.006489473,10.038336,0.1050261,10.038888,
40,575.49152,-1401.7566,400,-0.023987576,10.021534,0.1620329,10.022872,
41,595.73102,-1401.7566,400,-0.013280403,10.031822,0.12716277,10.032637,
42,615.97046,-1401.7566,400,-0.015391815,10.012025,0.11179413,10.012661,
43,636.20996,-1401.7566,400,-0.006545164,10.007593,0.088307828,10.007985,
44,656.44946,-1401.7566,400,-0.007832479,10.007932,0.090908498,10.008348,
45,676.6889,-1401.7566,400,-0.007336923,10.009963,0.11951279,10.010679,
46,696.92841,-1401.7566,400,-0.003925607,10.009517,0.11031056,10.010125,
47,717.16791,-1401.7566,400,0.004857821,10.01037,0.11053528,10.010982,
48,737.40735,-1401.7566,400,0.020239456,10.015049,0.16082354,10.016361,
49,757.64685,-1401.7566,400,0.02777845,10.018658,0.19832565,10.020658,
50,777.88635,-1401.7566,400,0.026428888,10.019104,0.18151775,10.020783,
51,798.12579,-1401.7566,400,0.029506011,10.029162,0.20821024,10.031366,
52,818.36523,-1401.7566,400,0.025256442,10.025837,0.16037336,10.027151,
53,838.60474,-1401.7566,400,0.027148075,10.025419,0.13391526,10.026351,
54,858.84424,-1401.7566,400,0.027124308,10.019407,0.078546457,10.019752,
55,879.08374,-1401.7566,400,0.025321711,10.01461,0.048563998,10.01476,
56,899.32324,-1401.7566,400,0.037218526,10.015647,0.086583845,10.01609,
57,919.56274,-1401.7566,400,0.036641646,10.014192,0.087315813,10.014639,
58,939.80212,-1401.7566,400,0.020354744,10.006566,0.046646815,10.006695,
59,960.04163,-1401.7566,400,0.036786702,10.011873,0.11719386,10.012627,
60,980.28113,-1401.7566,400,0.031693485,10.011209,0.096938655,10.011729,
61,1000.5206,-1401.7566,400,0.030510824,10.008575,0.078628048,10.008931,
62,1020.7601,-1401.7566,400,0.031228278,10.007999,0.078849897,10.008359,
63,1040.9996,-1401.7566,400,0.025688842,10.015598,0.0702466,10.015878,
64,1061.239,-1401.7566,400,0.026245596,10.001757,0.045903299,10.001896,
65,1081.4785,-1401.7566,400,0.02624708,10.001758,0.045905896,10.001897,
66,1101.718,-1401.7566,400,0.025502916,10.017735,0.072616212,10.01803,
67,1121.9575,-1401.7566,400,0.031280547,10.032423,0.077994682,10.032775,
68,1142.197,-1401.7566,400,0.032323278,10.033491,0.081086703,10.033871,
