Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,120,-0.016728679,9.9614563,0.008492479,9.9614744,
2,-193.60878,-1401.7566,120,-0.017227184,9.9962177,0.002283019,9.996233,
3,-173.36929,-1401.7566,120,-0.017200878,9.9962244,0.002279533,9.9962397,
4,-153.12982,-1401.7566,120,-0.052686304,10.003431,0.008711663,10.003574,
5,-132.89034,-1401.7566,120,-0.074340552,10.005047,0.012977755,10.005331,
6,-112.65086,-1401.7566,120,-0.096595623,10.003092,0.018278098,10.003575,
7,-92.411377,-1401.7566,120,-0.087161914,10.014519,0.017470043,10.014914,
8,-72.17189,-1401.7566,120,-0.09077435,10.010269,0.014446549,10.010691,
9,-51.932404,-1401.7566,120,-0.1014829,10.000111,0.009979745,10.00063,
10,-31.692932,-1401.7566,120,-0.10506916,9.998251,0.007696311,9.998806,
11,-11.453445,-1401.7566,120,-0.12008134,9.9959116,0.01401036,9.9966431,
12,8.7860413,-1401.7566,120,-0.11969327,9.9969978,0.016039981,9.9977274,
13,29.025513,-1401.7566,120,-0.11969327,9.9969978,0.016039981,9.9977274,
14,49.264999,-1401.7566,120,-0.11517386,9.9908218,0.01150776,9.9914923,
15,69.504471,-1401.7566,120,-0.10138662,9.971982,-0.002318543,9.9724979,
16,89.743973,-1401.7566,120,-0.10138662,9.971982,-0.002318543,9.9724979,
17,109.98344,-1401.7566,120,-0.092051968,9.9806194,0.008960445,9.9810486,
18,130.22292,-1401.7566,120,-0.083535932,9.9884987,0.019250294,9.9888668,
19,150.46242,-1401.7566,120,-0.080573596,9.9891195,0.024187345,9.9894743,
20,170.70189,-1401.7566,120,-0.074425794,9.990407,0.034433313,9.9907436,
21,190.94136,-1401.7566,120,-0.073249504,9.9888916,0.038663931,9.9892349,
22,211.18086,-1401.7566,120,-0.066949844,9.9807749,0.061321046,9.9811878,
23,231.42033,-1401.7566,120,-0.066584617,9.980773,0.06638696,9.9812164,
24,251.65981,-1401.7566,120,-0.050213519,9.9816551,0.070470467,9.9820299,
25,271.89929,-1401.7566,120,-0.033808138,9.9825172,0.079438955,9.9828901,
26,292.13879,-1401.7566,120,-0.022135593,9.9834328,0.10003866,9.9839582,
27,312.37823,-1401.7566,120,-0.030575706,9.9730129,0.20326747,9.975131,
28,332.61774,-1401.7566,120,-0.029628746,9.973958,0.20334643,9.9760742,
29,352.85724,-1401.7566,120,-0.036291968,9.9591246,0.193827,9.9610767,
30,373.09668,-1401.7566,120,0.009670136,9.9765663,0.16646712,9.9779596,
31,393.33618,-1401.7566,120,0.009670136,9.9765663,0.16646712,9.9779596,
32,413.57568,-1401.7566,120,-0.011736378,9.9971771,0.18972813,9.9989843,
33,433.81512,-1401.7566,120,-0.035900921,9.992857,0.20526177,9.9950294,
34,454.05463,-1401.7566,120,-0.035900921,9.992857,0.20526177,9.9950294,
35,474.29413,-1401.7566,120,-0.029555446,9.9879379,0.16226253,9.9892998,
36,494.53357,-1401.7566,120,-0.029668789,9.9737358,0.12792307,9.9745998,
37,514.77307,-1401.7566,120,-0.044873171,9.9659443,0.11230936,9.9666777,
38,535.01257,-1401.7566,120,-0.060871143,9.9459057,0.07040073,9.9463415,
39,555.25201,-1401.7566,120,-0.032592919,9.964756,0.12853108,9.9656382,
40,575.49152,-1401.7566,120,-0.032592919,9.964756,0.12853108,9.9656382,
41,595.73102,-1401.7566,120,-0.038989559,9.9820995,0.11142309,9.9827976,
42,615.97046,-1401.7566,120,-0.041730583,9.9895315,0.10409214,9.9901609,
43,636.20996,-1401.7566,120,-0.041730583,9.9895325,0.10409214,9.9901619,
44,656.44946,-1401.7566,120,-0.22498,10.038635,0.17146407,10.04262,
45,676.6889,-1401.7566,120,-0.35027394,10.042166,0.18231639,10.049927,
46,696.92841,-1401.7566,120,-0.35027394,10.042166,0.18231639,10.049927,
47,717.16791,-1401.7566,120,-0.54734528,10.002093,0.13996801,10.018036,
48,737.40735,-1401.7566,120,-0.63197714,9.9848843,0.12178161,10.005606,
49,757.64685,-1401.7566,120,-0.49432039,9.9995623,0.11532623,10.012437,
50,777.88635,-1401.7566,120,-0.14080453,9.7199507,0.081445098,9.7213116,
51,798.12579,-1401.7566,120,0.053997751,9.8007193,0.1018522,9.8013973,
52,818.36523,-1401.7566,120,0.19665103,9.8326178,0.065923579,9.8348055,
53,838.60474,-1401.7566,120,0.40249303,9.9752312,0.03533281,9.9834108,
54,858.84424,-1401.7566,120,0.41582543,10.03465,0.045813471,10.043366,
55,879.08374,-1401.7566,120,0.15337765,10.034544,0.083267592,10.036061,
56,899.32324,-1401.7566,120,0.13902459,10.013242,0.088599779,10.014599,
57,919.56274,-1401.7566,120,0.064647786,10.02535,0.14828193,10.026655,
58,939.80212,-1401.7566,120,0.056687385,10.019426,0.19634646,10.02151,
59,960.04163,-1401.7566,120,0.06216979,10.011395,0.26778218,10.015169,
60,980.28113,-1401.7566,120,0.036392871,10.012491,0.27048957,10.016211,
