Length Units,meter,,,,,,,
Node,X(m),Y(m),Z(m),VX(m/s),VY(m/s),VZ(m/s),(1) 속도 크기 - m/s,
1,-213.84827,-1401.7566,40,-0.024795823,9.9502697,-0.002400775,9.9503012,
2,-193.60878,-1401.7566,40,-0.024951365,9.9927359,0.002109963,9.9927673,
3,-173.36929,-1401.7566,40,-0.024725055,9.9928837,0.002357963,9.9929152,
4,-153.12982,-1401.7566,40,-0.029272094,10.009184,0.000300051,10.009227,
5,-132.89034,-1401.7566,40,-0.06025143,10.013587,-0.006078261,10.01377,
6,-112.65086,-1401.7566,40,-0.062660232,10.017519,-0.007188031,10.017717,
7,-92.411377,-1401.7566,40,-0.063690819,10.019093,-0.007635007,10.019299,
8,-72.17189,-1401.7566,40,-0.063703783,10.019096,-0.007636561,10.019302,
9,-51.932404,-1401.7566,40,-0.10722366,10.006332,-0.008929988,10.00691,
10,-31.692932,-1401.7566,40,-0.12244492,10.001869,-0.009382397,10.002623,
11,-11.453445,-1401.7566,40,-0.12245341,10.001869,-0.009383048,10.002623,
12,8.7860413,-1401.7566,40,-0.145925,9.9956188,-0.010509174,9.9966898,
13,29.025513,-1401.7566,40,-0.14399207,9.993125,-0.011372416,9.9941692,
14,49.264999,-1401.7566,40,-0.094518684,9.9990654,-0.012975425,9.9995203,
15,69.504471,-1401.7566,40,-0.08817254,10.000587,-0.013587913,10.000985,
16,89.743973,-1401.7566,40,-0.084209472,9.9908962,-0.01343591,9.9912605,
17,109.98344,-1401.7566,40,-0.074578591,9.9670038,-0.013082713,9.9672909,
18,130.22292,-1401.7566,40,-0.074635386,9.9669781,-0.013092676,9.9672661,
19,150.46242,-1401.7566,40,-0.074634798,9.9669781,-0.013092574,9.9672661,
20,170.70189,-1401.7566,40,-0.058432098,9.9769535,-0.005402849,9.9771261,
21,190.94136,-1401.7566,40,-0.058624759,9.9775848,-0.006354795,9.9777584,
22,211.18086,-1401.7566,40,-0.07859797,9.9891481,-0.0135777,9.9894667,
23,231.42033,-1401.7566,40,-0.074054696,9.9886122,-0.002115852,9.9888868,
24,251.65981,-1401.7566,40,-0.074023053,9.9886169,-0.002114948,9.9888916,
25,271.89929,-1401.7566,40,-0.063870959,9.9811926,-0.051025748,9.9815273,
26,292.13879,-1401.7566,40,-0.046546057,9.9733324,-0.016454553,9.9734545,
27,312.37823,-1401.7566,40,-0.036703974,9.9718552,-0.012974164,9.9719315,
28,332.61774,-1401.7566,40,-0.031237058,9.9771986,-0.053140473,9.9773893,
29,352.85724,-1401.7566,40,-0.015209495,9.9901457,-0.049640436,9.9902802,
30,373.09668,-1401.7566,40,-0.012094715,9.9706326,-0.005109552,9.9706411,
31,393.33618,-1401.7566,40,-0.010031198,9.9566555,0.027201492,9.9566975,
32,413.57568,-1401.7566,40,-0.015294619,9.9755106,-0.010339994,9.9755278,
33,433.81512,-1401.7566,40,-0.022901522,9.9929686,-0.041534558,9.9930811,
34,454.05463,-1401.7566,40,-0.049487937,9.9832907,-0.043457888,9.9835081,
35,474.29413,-1401.7566,40,-0.073978603,9.975852,-0.020031191,9.9761467,
36,494.53357,-1401.7566,40,-0.10692952,9.9743204,0.00916332,9.9748983,
37,514.77307,-1401.7566,40,-0.11753391,9.9683447,0.025145337,9.9690695,
38,535.01257,-1401.7566,40,-0.091367848,9.9523191,0.034608953,9.9527988,
39,555.25201,-1401.7566,40,-0.072567746,9.9592981,-0.033837657,9.9596205,
40,575.49152,-1401.7566,40,-0.055764198,9.9655371,-0.095000245,9.9661465,
41,595.73102,-1401.7566,40,-0.055754501,9.9655437,-0.094983727,9.9661522,
